Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed,Number
Joel Embiid,2,7,8,1,6,9,10,4,21
Tobias Harris,5,8,7,1,2,2,6,5,12
Ben Simmons,7,1,8,7,2,7,8,8,25
Andre Drummond,1,1,9,5,5,5,8,2,1
Seth Curry,6,9,5,1,1,2,1,6,31
Danny Green,4,7,3,4,3,7,4,2,14
Tyrese Maxey,6,6,7,1,1,6,1,5,0
Shake Milton,6,7,7,1,1,3,3,5,18
Matisse Thybulle,3,2,4,10,7,8,3,5,22
Furkan Korkmaz,5,5,5,3,1,3,5,4,30
Georges Niang,4,6,4,1,1,2,5,1,20
Paul Reed,1,4,6,4,7,4,7,1,44
Jaden Springer,6,5,5,3,1,4,2,6,11
Aaron Henry,1,1,1,1,1,1,4,1,50
Filip Petrusev,1,1,1,1,1,1,9,1,-1
