Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed
Zach LaVine,7,8,9,1,1,3,4,7
DeMar DeRozan,7,6,6,1,1,5,4,6
Nikola Vucevic,1,7,7,1,2,5,9,2
Lonzo Ball,5,5,6,4,2,7,4,7
Coby White,7,7,5,1,1,3,2,7
Alex Caruso,6,4,6,6,1,7,3,6
Patrick Williams,4,7,4,1,2,5,5,4
Derrick Jones Jr,4,4,9,1,5,2,4,5
Alize Johnson,4,4,4,1,2,3,6,2
Tony Bradley,1,1,5,1,6,4,8,1
Stanley Johnson,4,6,4,5,2,6,4,3
Javonte Green,4,4,7,4,1,4,2,4
Matt Thomas,3,6,4,1,1,1,2,3
Troy Brown Jr.,5,4,4,1,1,4,4,4
Tyler Cook,3,1,5,1,1,2,6,4
