Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed,Number
Darius Garland,8,6,7,2,1,3,1,8,10
Collin Sexton,7,5,8,1,1,4,1,8,2
Jarrett Allen,1,3,7,1,6,6,9,5,31
Lauri Markkanen,3,5,4,1,1,3,10,3,24
Evan Mobley,2,3,7,1,7,5,10,4,4
Kevin Love,1,5,5,1,1,4,6,3,0
Ricky Rubio,7,5,5,6,1,6,1,5,3
Isaac Okoro,4,3,5,1,1,6,4,5,35
Dylan Windler,5,6,5,1,2,2,4,4,9
Denzel Valentine,5,6,3,1,1,2,2,3,45
Dean Wade,2,5,6,1,2,1,7,2,32
Cedi Osman,5,5,5,1,1,5,5,4,16
Tacko Fall,1,1,7,1,8,4,10,1,99
Lamar Stevens,3,3,6,1,2,2,5,4,8
Kevin Pangos,1,1,1,1,1,1,1,1,6
