Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed,Number
Kawhi Leonard,7,8,8,7,1,9,5,7,2
Paul George,7,8,7,6,1,8,6,6,13
Reggie Jackson,1,7,6,1,1,5,1,7,1
Serge Ibaka,1,7,6,1,6,6,10,1,9
Marcus Morris Sr.,2,8,4,1,1,3,6,5,8
Ivica Zubac,1,1,6,1,5,5,10,1,40
Terrance Mann,5,5,5,1,1,3,3,4,14
Nicolas Batum,4,6,5,2,2,5,7,4,33
Eric Bledsoe,7,6,6,1,1,7,1,7,12
Luke Kennard,6,7,4,1,1,1,3,4,5
Isaiah Hartenstein,2,4,5,1,8,2,10,2,55
Justice Winslow,5,2,5,1,2,6,4,5,20
Keon Johnson,5,4,5,3,1,4,3,9,45
Harry Giles III,1,5,6,1,4,3,9,4,-1
Jason Preston,5,5,4,2,1,3,2,6,17
