Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed,Number
Ja Morant,8,6,9,1,1,5,1,8,4
Jaren Jackson Jr.,2,5,7,3,8,6,9,3,13
Kyle Anderson,6,7,6,3,3,6,7,3,1
Steven Adams,1,1,6,1,4,6,9,1,12
Dillon Brooks,5,5,6,2,1,7,4,7,24
Brandon Clarke,4,4,7,2,4,6,6,6,15
Xavieer Tillman,2,3,5,2,3,6,6,1,2
Desmond Bane,5,6,4,1,1,3,4,3,22
DeAnthony Melton,6,6,4,7,3,6,1,5,0
Tyus Jones,6,5,6,5,1,3,1,4,21
Kris Dunn,7,4,4,9,1,7,1,7,-1
John Konchar,5,6,5,5,2,2,3,2,46
Ziaire Williams,6,4,6,4,2,5,6,7,8
Jarrett Culver,5,4,5,1,2,4,4,6,23
Sam Merrill,5,6,3,1,1,2,3,2,15
