Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed,Number
Trae Young,9,7,8,1,1,2,1,7,11
Clint Capela,1,1,9,1,8,7,8,2,15
John Collins,2,7,9,1,4,5,7,4,20
Bogdan Bogdanovic,6,8,6,2,1,3,4,5,13
DeAndre Hunter,4,6,4,4,2,6,5,5,12
Danilo Gallinari,5,6,5,1,1,4,8,2,8
Kevin Huerter,5,7,5,2,1,3,5,7,3
Lou Williams,7,6,8,1,1,2,1,6,6
Cameron Reddish,6,5,6,3,1,6,6,7,22
Delon Wright,7,5,6,7,2,5,3,5,0
Onyeka Okongwu,2,2,7,2,7,6,7,5,17
Gorgui Dieng,1,5,4,4,3,4,8,1,10
Jahil Okafor,1,2,8,1,1,3,8,1,-1
Jalen Johnson,2,4,6,2,2,3,7,5,1
Sharife Cooper,1,1,1,1,1,1,1,1,2
