Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed,Number
LeBron James,5,6,9,6,4,6,7,5,6
Anthony Davis,5,5,9,3,6,9,8,6,3
Russell Westbrook,6,5,8,1,1,7,1,9,0
Carmelo Anthony,6,6,5,1,2,3,6,5,7
Dwight Howard,1,4,7,1,7,5,8,4,39
Kendrick Nunn,6,7,8,1,1,2,1,5,12
Talen Horton-Tucker,5,5,6,5,2,5,2,3,5
Rajon Rondo,7,6,6,5,1,6,1,6,4
Malik Monk,5,6,6,1,1,4,1,6,11
DeAndre Jordan,1,1,6,1,6,6,9,3,10
Wayne Ellington,4,7,5,1,1,2,2,4,2
Kent Bazemore,5,3,5,5,2,5,2,6,9
Joel Ayayi,1,1,1,1,1,1,3,1,-1
Chaundee Brown,1,1,1,1,1,1,3,1,-1
Austin Reaves,1,1,1,1,1,1,3,1,15
