Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed,Number
Wendell Carter Jr.,1,4,6,1,3,6,7,4,34
Jonathan Isaac,5,5,6,7,9,7,9,5,1
Terrance Ross,6,7,7,1,2,4,4,5,31
Jalen Suggs,7,5,7,2,1,5,2,8,4
Cole Anthony,7,6,6,1,1,4,1,7,50
Markelle Fultz,7,4,8,2,1,5,1,7,20
Mohamed Bamba,1,4,7,1,8,5,10,5,5
Robin Lopez,1,5,6,1,3,4,10,1,33
Chuma Okeke,4,7,4,3,2,6,6,4,3
Franz Wagner,5,5,5,4,3,4,7,3,22
Moritz Wagner,1,6,5,1,2,2,9,5,21
RJ Hampton,7,5,6,1,1,4,2,8,13
Gary Harris,5,5,5,1,1,7,2,4,14
Michael Carter-Williams,6,3,8,1,2,5,3,5,7
Etwaun Moore,5,4,5,3,1,2,1,4,55
