Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed,Number
Luka Doncic,9,8,9,1,2,5,5,7,77
Kristaps Porzingis,4,6,8,1,6,6,10,3,6
Tim Hardaway Jr.,6,6,6,1,1,4,3,4,11
Jalen Brunson,7,7,7,1,1,4,1,6,13
Moses Brown,1,1,5,1,6,4,10,1,9
Dorian Finney-Smith,2,5,7,1,1,6,5,3,10
Maxi Kleber,3,6,5,1,3,5,8,1,42
Trey Burke,7,7,5,2,1,3,1,6,3
Dwight Powell,2,3,5,2,4,5,8,4,7
Willie Cauley-Stein,1,1,7,1,6,5,10,4,33
Reggie Bullock,4,7,4,1,1,2,4,3,25
Boban Marjanovic,1,3,9,1,2,5,10,1,51
Sterling Brown,5,5,5,1,1,4,3,4,0
Jaquori McLaughlin,1,1,1,1,1,1,2,1,30
Eugene Omoruyi,1,1,1,1,1,1,5,1,2
