Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed,Number
Kevin Durant,8,9,9,1,5,7,8,6,7
James Harden,9,8,9,1,2,4,3,7,13
Kyrie Irving,10,8,9,2,2,5,1,7,11
LaMarcus Aldridge,1,7,4,1,4,5,9,1,21
Joe Harris,5,7,3,1,1,3,4,4,12
Paul Millsap,4,4,5,3,4,6,5,2,31
Blake Griffin,5,2,7,1,1,5,7,4,2
Bruce Brown Jr.,5,4,6,2,2,5,2,5,1
Patty Mills,7,7,5,1,1,3,1,7,8
Nicolas Claxton,1,3,6,2,8,5,9,3,33
Jevon Carter,6,6,5,2,1,6,1,5,0
James Johnson,5,2,6,2,5,5,5,3,16
Kessler Edwards,1,1,1,1,1,1,6,1,14
Raiquan Gray,1,1,1,1,1,1,6,1,-1
Marcus Zegarowski,1,1,1,1,1,1,1,1,-1
