Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed
Domantas Sabonis,2,5,7,1,1,4,9,1
TJ Warren,6,6,8,1,1,2,6,2
Caris LeVert,5,6,8,3,2,5,4,5
Malcolm Brogdon,7,8,5,1,1,5,3,5
Myles Turner,1,6,6,1,9,7,9,2
Jeremy Lamb,5,7,5,3,3,4,3,4
TJ McConnell,6,7,6,9,1,6,1,5
Oshae Brissett,2,5,5,1,4,2,5,3
Torrey Craig,4,5,5,1,4,6,5,3
Edmond Sumner,4,5,6,2,1,2,2,6
Goga Bitadze,2,5,5,1,9,3,9,2
Chris Duarte,4,6,4,4,2,4,4,3
Justin Holiday,4,7,5,1,2,5,4,2
DeJon Jarreau,1,1,1,1,1,1,3,1
Duane Washington Jr,1,1,1,1,1,1,1,1
