Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed,Number
Zion Williamson,6,4,10,1,2,2,4,7,1
Brandon Ingram,7,8,7,1,2,4,5,5,14
Jonas Valanciunas,1,6,6,1,4,5,9,2,17
Devonte Graham,7,6,4,1,1,4,1,6,4
Josh Hart,6,4,6,1,1,4,3,6,3
Jaxson Hayes,1,2,7,1,5,6,9,2,10
Nickeil Alexander-Walker,6,6,4,3,2,5,3,4,6
Tomas Satoransky,5,6,6,1,1,4,5,5,31
Willy Hernangomez,1,3,5,1,3,4,9,1,9
Kira Lewis Jr.,7,4,5,2,1,3,1,8,13
Trey Murphy,1,5,5,1,1,4,7,7,25
Naji Marshall,4,5,4,2,2,2,5,2,8
Garrett Temple,5,5,5,1,2,6,3,2,41
Jose Alvarado,1,1,1,1,1,1,1,1,15
Daulton Hommes,1,1,1,1,1,1,6,1,34
