Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed,Number
Pascal Siakam,6,6,7,1,2,7,7,5,43
Fred VanVleet,7,6,5,4,2,7,1,7,23
OG Anunoby,4,5,7,6,2,7,5,6,3
Chris Boucher,1,5,7,1,9,6,7,2,25
Goran Dragic,7,7,5,1,1,5,1,5,1
Gary Trent Jr.,4,6,5,1,1,2,3,7,33
Scottie Barnes,6,4,6,4,2,5,7,6,4
Khem Birch,1,6,7,1,4,5,7,4,24
Precious Achiuwa,1,1,7,1,6,5,7,5,5
Sviatoslav Mykhailiuk,3,6,5,2,1,1,5,6,14
Yuta Watanabe,4,4,2,1,3,3,6,3,18
Justin Champagnie,1,1,1,1,1,1,4,1,11
Sam Dekker,1,1,1,1,1,1,7,1,8
David Johnson,1,1,1,1,1,1,3,1,13
Ishmail Wainright,1,1,1,1,1,1,3,1,-1
