Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed,Number
John Wall,7,4,7,5,2,7,2,8,1
Christian Wood,2,5,8,1,4,5,8,2,35
Jalen Green,5,6,7,2,1,5,4,8,0
Eric Gordon,6,5,8,1,2,6,1,6,10
Kevin Porter Jr.,6,6,6,1,1,4,2,7,3
JeaSean Tate,5,4,6,2,2,4,2,4,8
Kenyon Martin Jr.,5,5,6,1,5,3,5,7,6
Daniel Theis,1,6,6,1,4,7,6,2,27
David Nwaba,3,5,6,3,3,6,3,4,2
Alperen Sengun,2,1,4,1,2,3,7,1,28
DJ Augustin,6,5,5,1,1,2,1,6,14
Usman Garuba,3,2,4,4,5,4,6,4,16
Danuel House,4,5,6,1,2,2,5,3,4
Dante Exum,5,5,5,1,2,6,3,6,-1
Matthew Hurt,1,1,1,1,1,1,7,1,-1
