Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed,Number
Dejounte Murray,7,6,8,6,1,7,2,7,5
Keldon Johnson,6,6,7,1,1,4,3,5,3
Thaddeus Young,4,3,6,4,2,6,6,4,30
Derrick White,7,4,5,5,4,6,2,8,4
Jakob Poeltl,1,2,5,1,7,6,10,1,25
Doug McDermott,3,6,6,1,1,2,5,2,17
Lonnie Walker IV,6,5,5,1,1,5,3,8,1
Bryn Forbes,4,8,6,1,1,2,1,4,7
Devin Vassell,3,6,3,2,2,6,5,4,24
Drew Eubanks,1,1,5,1,7,2,7,2,14
Zach Collins,1,3,4,1,5,4,9,3,23
Keita Bates-Diop,3,5,4,3,2,3,6,5,31
Joshua Primo,4,6,4,1,1,4,4,5,11
Jock Landale,1,1,1,1,1,1,9,1,34
Joe Wieskamp,1,1,1,1,1,1,4,1,15
