Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed,Number
Karl-Anthony Towns,3,6,8,1,4,4,9,5,32
Dangelo Russell,7,6,5,2,1,3,2,6,0
Anthony Edwards,5,5,8,1,1,5,3,8,1
Malik Beasley,6,7,5,1,1,3,2,5,5
Patrick Beverly,6,2,4,5,4,8,1,5,22
Naz Reid,2,5,6,1,7,5,7,1,11
Jaden McDaniels,6,5,5,1,5,2,8,6,3
Jarred Vanderbilt,3,2,5,7,5,4,7,5,8
Josh Okogie,5,4,5,3,2,6,2,8,20
Jaylen Nowell,5,6,6,1,2,2,2,6,4
Taurean Prince,4,5,5,1,2,5,5,6,12
Jordan McLaughlin,7,5,5,5,1,4,1,4,6
Jake Layman,4,6,6,3,3,3,6,4,10
Leandro Bolmaro,5,4,5,5,1,4,4,4,9
McKinley Wright IV,1,1,1,1,1,1,1,1,25
