Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed,Number
Stephen Curry,9,10,9,2,1,5,1,7,30
Klay Thompson,5,8,7,6,2,9,4,4,11
Andrew Wiggins,6,6,8,1,3,3,5,6,22
Draymond Green,6,3,4,5,2,8,4,5,23
James Wiseman,1,5,6,1,5,5,10,4,33
Otto Porter Jr.,5,6,5,1,1,5,6,4,32
Jordan Poole,6,6,6,1,1,3,2,5,3
Jonathan Kuminga,5,4,6,3,4,5,4,7,00
Juan Toscano-Anderson,4,5,4,1,2,3,4,4,95
Nemanja Bjelica,4,6,5,1,1,1,8,2,8
Moses Moody,5,6,4,4,2,4,4,5,4
Andre Iguodala,6,4,6,3,3,7,4,5,9
Kevon Looney,2,4,5,1,2,4,7,2,5
Damion Lee,4,5,6,1,1,2,3,4,1
Avery Bradley,6,4,4,1,1,7,1,7,-1
