Trae Young,9,8,9,7,8,1,1,1,1,7,9,6,7,4,4,1,1,11
Dejounte Murray,7,7,7,5,9,7,1,1,7,7,8,7,7,7,8,1,2,5
Clint Capela,1,5,2,1,6,1,6,7,1,2,8,1,1,2,5,7,8,15
John Collins,2,8,5,6,6,1,4,5,1,4,8,1,1,1,1,5,7,20
Bogdan Bogdanovic,6,8,8,6,6,1,1,1,3,5,8,5,5,5,2,3,4,13
Onyeka Okongwu,1,7,2,2,6,1,7,6,3,5,8,1,2,4,3,4,6,17
De'Andre Hunter,4,7,5,6,5,1,1,3,6,5,8,3,4,7,2,3,6,12
Aaron Holiday,7,9,6,7,5,3,1,1,4,5,7,6,5,5,4,1,1,4
Lou Williams,7,6,5,6,6,1,1,1,2,6,7,5,6,5,1,1,1,6
Jalen Johnson,2,3,5,4,6,1,1,3,3,5,7,4,5,5,1,4,6,1
Skylar Mays,6,4,7,5,4,1,1,1,4,4,8,5,3,5,2,1,2,4
Justin Holiday,4,5,7,6,5,1,1,2,5,1,7,3,1,5,6,1,4,9
Timothe Luwawu-Cabarrot,5,1,3,6,6,1,1,1,5,6,7,5,5,5,1,1,5,7
Maurice Harkless,3,6,2,5,6,1,3,2,5,4,7,3,2,5,3,2,5,8
Sharife Cooper,7,5,5,4,6,1,1,1,4,8,6,5,8,5,1,1,1,2
