Kevin Durant,8,9,10,8,9,1,5,4,7,6,9,6,8,7
James Harden,9,8,8,7,9,1,1,2,4,7,10,6,3,13
Kyrie Irving,10,9,10,7,9,1,1,1,5,7,9,8,1,11
LaMarcus Aldridge,1,7,8,6,4,1,4,5,1,1,5,1,9,21
Joe Harris,5,8,6,8,3,1,1,1,3,4,8,4,4,12
Paul Millsap,4,9,3,5,5,3,4,6,6,2,9,2,5,24
Blake Griffin,5,6,1,6,6,1,1,5,2,4,9,5,7,2
Bruce Brown,5,7,5,3,6,1,1,2,5,5,8,6,2,1
Patty Mills,7,7,7,6,5,1,1,1,3,7,6,6,1,8
Nicolas Claxton,1,6,3,3,5,1,8,5,3,3,8,1,9,33
Jevon Carter,6,3,6,6,5,2,1,1,6,5,7,5,1,4
James Johnson,5,5,2,3,6,2,5,5,5,3,7,4,5,16
DeAndre' Bembry,6,7,1,3,6,5,2,1,5,4,7,5,3,95
Cameron Thomas,6,5,5,5,5,1,1,1,2,5,7,2,2,18
Day'Ron Sharpe,2,4,1,1,4,1,4,4,2,2,6,2,9,22
Kessler Edwards,3,4,4,6,4,1,1,2,3,4,6,1,6,14
David Duke,5,4,5,6,5,1,1,1,2,7,6,2,3,44
