LaMelo Ball,7,6,7,6,8,7,1,1,6,7,8,8,5,2
Gordon Hayward,5,7,6,7,6,1,1,1,5,6,8,5,5,20
Terry Rozier,7,8,7,7,6,1,1,1,5,6,8,7,1,3
Mason Plumlee,1,7,2,2,6,1,4,5,1,1,6,5,10,24
P.J. Washington,4,5,2,6,5,1,6,2,1,5,7,1,5,25
Miles Bridges,5,6,1,6,6,1,3,2,2,5,8,3,5,0
Kelly Oubre,6,6,3,5,7,1,2,1,5,4,8,4,4,12
James Bouknight,6,5,4,5,6,4,1,1,4,7,7,4,2,5
Jalen McDaniels,2,5,4,5,3,1,2,2,1,5,6,1,7,6
Ish Smith,7,7,6,5,6,1,1,1,5,7,6,7,1,10
Kai Jones,1,4,4,4,3,1,5,6,1,3,7,1,8,23
Vernon Carey,1,7,5,3,1,1,6,3,1,1,6,1,7,22
Cody Martin,4,5,1,4,6,3,1,1,2,2,7,3,4,11
J.T. Thor,2,4,4,4,4,2,4,3,3,7,7,3,7,21
Scottie Lewis,5,4,4,5,5,1,1,1,2,9,5,4,2,16
Arnoldas Kulboka,4,4,4,6,4,1,1,1,1,2,6,1,8,98
Nick Richards,1,3,4,1,2,1,5,5,1,4,6,1,10,14
