Luka Doncic,9,9,7,7,9,1,1,1,5,7,10,8,7,5,4,4,5,77
Christian Wood,2,8,1,7,7,1,3,5,1,1,9,1,1,1,2,5,7,35
Spencer Dinwiddie,8,7,4,5,7,1,1,1,5,6,9,8,6,5,2,1,4,26
JaVale McGee,1,8,3,1,3,1,8,6,1,3,4,1,1,1,3,5,10,0
Dorian Finney-Smith,2,4,4,6,5,1,1,4,6,3,6,3,1,6,5,2,5,10
Dwight Powell,2,7,3,6,4,1,2,5,1,4,8,1,1,2,5,6,8,7
Tim Hardaway,6,4,8,5,5,1,1,1,4,4,7,5,4,5,2,1,3,11
Josh Green,4,5,5,6,6,3,1,1,5,7,8,4,4,6,3,2,3,8
Maxi Kleber,3,1,4,5,5,1,5,5,4,1,7,4,1,4,4,6,8,42
Reggie Bullock,4,7,8,6,4,1,1,1,1,3,6,5,1,3,1,1,4,25
Davis Bertans,4,4,4,6,4,1,1,3,1,1,6,1,1,3,2,3,8,44
Frank Ntilikina,7,8,6,6,3,2,1,1,6,6,6,5,6,6,4,1,2,21
Theo Pinson,4,4,3,1,5,3,1,2,4,5,6,1,3,5,4,1,3,1
Moses Wright,1,4,4,5,2,1,1,4,1,4,7,1,1,1,1,2,6,5
