Nikola Jokic,5,10,9,6,8,3,3,4,2,3,9,9,2,1,1,9,9,15
Jamal Murray,8,9,6,7,8,1,1,1,6,6,9,8,5,6,5,1,1,27
Michael Porter,6,6,7,6,7,1,1,2,3,6,8,3,5,5,4,4,8,1
Aaron Gordon,2,5,6,5,7,1,1,5,5,4,9,3,3,5,4,4,6,50
DeMarcus Cousins,4,6,4,4,5,5,3,4,1,3,4,2,2,1,2,8,8,4
Nah'Shon Hyland,6,1,8,6,6,1,1,1,2,7,8,5,7,4,2,1,1,3
Zeke Nnaji,1,3,5,7,5,1,1,4,1,5,6,1,1,1,1,4,7,22
Bruce Brown,5,6,5,5,6,3,2,2,5,5,8,6,5,5,5,5,2,1
Jeff Green,5,9,1,5,6,1,1,4,4,3,8,4,1,5,1,4,6,0
Kentavious Caldwell-Pope,5,5,7,6,5,1,1,1,7,7,8,5,6,7,6,2,3,1
Ish Smith,7,5,7,6,6,1,1,1,5,7,6,7,7,5,1,1,1,4
Facundo Campazzo,6,5,4,5,4,7,1,1,6,4,6,6,4,6,7,1,1,7
DeAndre Jordan,1,5,1,1,1,1,6,5,1,3,8,1,1,2,2,7,9,10
Davon Reed,5,7,6,7,6,1,1,2,3,4,6,4,3,4,1,2,3,9
Vlatko Cancar,3,4,5,4,4,1,1,1,1,2,6,1,1,3,1,3,6,31
