Cade Cunningham,7,6,6,6,6,1,2,2,5,7,8,5,7,6,5,2,4,2,1
Saddiq Bey,5,6,6,6,5,1,1,3,5,3,7,3,1,6,4,4,5,41,2
Hamidou Diallo,6,9,6,4,7,6,1,1,3,7,7,5,6,5,6,1,3,6,4
Kemba Walker,8,4,6,6,6,1,1,1,4,7,9,6,7,5,4,1,1,8,11
Marvin Bagley,2,8,4,2,4,1,1,4,1,5,7,1,3,1,3,6,9,35,4
Alec Burks,6,4,6,7,6,1,1,1,4,6,8,4,5,4,4,1,4,18,11
Kelly Olynyk,1,5,4,5,5,1,2,4,1,1,8,2,1,1,1,4,9,13,9
Isaiah Stewart,1,7,6,2,5,1,6,4,1,3,8,1,1,2,1,6,6,28,2
Nerlens Noel,1,8,3,1,4,7,7,7,1,3,7,1,1,2,8,3,9,3,9
Saben Lee,7,2,5,3,7,7,2,1,2,5,6,6,5,3,1,1,1,38,2
Luka Garza,1,6,4,5,4,1,1,1,1,1,6,1,1,1,1,3,8,55,1
Cory Joseph,7,6,4,7,4,1,1,1,5,4,8,6,4,6,2,1,1,18,11
Frank Jackson,5,5,8,5,6,1,1,1,2,7,7,4,7,4,2,1,1,5,5
Killian Hayes,7,4,2,3,5,3,2,1,4,5,8,6,5,5,4,1,3,7,2
Kevin Knox,5,1,1,5,3,1,1,1,4,5,8,2,4,4,4,4,5,5,4
