Jalen Green,5,4,6,5,7,1,1,1,5,8,8,5,7,5,4,1,2,0,1
Alperen Sengun,1,5,1,3,6,2,6,4,3,1,6,3,1,3,7,4,8,28,1
Kevin Porter,6,2,4,6,6,1,1,1,4,7,8,6,7,5,2,1,2,3,3
Jae'Sean Tate,5,6,4,5,7,1,2,4,4,4,8,4,2,4,4,3,2,8,4
Kenyon Martin,5,5,4,6,5,1,2,1,3,7,6,3,4,4,1,2,3,6,2
Dennis Schroder,7,7,6,6,6,1,1,1,5,7,9,6,7,5,3,1,1,17,9
Josh Christopher,5,9,5,4,6,3,1,1,3,7,8,4,6,6,3,1,1,9,1
Eric Gordon,6,7,4,7,6,1,1,1,6,6,8,4,6,6,4,2,1,10,14
David Nwaba,3,2,4,5,6,3,4,4,6,4,7,2,3,6,7,4,3,2,5
Marquese Chriss,1,4,5,5,4,3,5,1,2,4,6,1,1,2,4,3,7,32,6
Garrison Mathews,5,5,6,6,6,1,1,1,2,1,8,4,1,2,1,1,3,25,3
Boban Marjanovic,1,7,4,3,1,1,2,5,1,1,4,2,1,1,5,4,10,51,7
Usman Garuba,3,2,2,3,6,4,7,4,4,4,7,2,2,5,4,4,6,16,1
Bruno Fernando,1,1,3,1,5,1,4,3,1,5,7,1,1,2,2,7,7,20,3
Trey Burke,7,7,4,5,5,1,1,1,3,6,7,6,6,4,2,1,1,3,9
