Kawhi Leonard,7,10,9,7,8,7,1,6,9,7,9,6,5,2
Paul George,7,7,9,7,7,6,1,6,8,6,9,6,6,13
Reggie Jackson,1,6,7,7,6,1,1,1,5,7,9,6,1,1
Serge Ibaka,1,8,8,5,4,1,6,6,1,1,8,1,10,9
Marcus Morris,2,7,8,8,4,1,1,3,4,5,9,2,6,8
Ivica Zubac,1,9,5,1,5,1,5,5,1,1,6,4,10,40
Terance Mann,5,6,3,6,5,1,1,1,3,4,7,4,3,14
Nicolas Batum,4,6,5,7,5,1,1,3,5,4,8,5,7,33
Eric Bledsoe,7,6,6,6,6,1,1,2,7,7,7,4,1,12
Luke Kennard,6,7,7,7,4,1,1,1,1,4,8,5,3,5
Isaiah Hartenstein,1,7,4,4,4,1,8,2,1,2,6,1,10,55
Justise Winslow,5,5,2,2,5,1,2,3,6,5,8,5,4,20
Keon Johnson,5,4,4,3,5,3,1,1,4,9,8,5,3,45
Harry Giles,1,5,6,3,5,1,4,3,1,4,5,3,9,31
Amir Coffey,4,3,4,6,4,1,1,1,1,5,6,4,5,7
Jason Preston,5,4,4,5,4,2,1,1,3,6,7,7,2,17
Brandon Boston,5,4,4,5,5,1,1,1,2,6,6,3,5,4
Jay Scrubb,4,2,4,5,4,1,1,1,2,5,6,1,4,0
