Jimmy Butler,7,7,7,4,8,8,1,5,8,7,9,6,6,8,9,5,5,22,11
Bam Adebayo,4,7,4,4,6,4,3,8,6,5,8,4,3,5,6,7,7,13,5
Tyler Herro,7,7,7,7,8,1,1,1,4,6,7,6,5,4,2,2,3,14,3
Kyle Lowry,7,9,7,6,6,1,1,4,7,7,9,6,7,7,7,3,1,7,16
Omer Yurtseven,2,7,4,4,3,1,5,2,1,1,7,1,1,1,2,4,9,77,1
Caleb Martin,4,1,6,6,7,3,2,4,5,1,7,2,1,5,4,2,3,16,3
Victor Oladipo,6,5,4,6,5,1,1,2,7,6,7,5,6,7,6,3,2,4,9
Dewayne Dedmon,1,8,1,6,3,1,6,6,1,1,5,1,1,2,2,6,10,21,9
Duncan Robinson,4,6,6,7,5,1,1,1,1,2,7,3,1,3,1,1,5,55,3
Max Strus,4,5,5,7,4,1,1,1,1,5,8,3,5,3,1,1,3,31,3
Gabe Vincent,5,8,6,6,5,2,1,1,2,5,7,5,4,3,1,1,1,2,2
Markieff Morris,1,9,4,5,3,1,1,5,1,1,8,1,1,1,1,7,7,8,11
Udonis Haslem,1,6,3,1,1,3,1,5,1,1,6,1,1,1,3,5,6,40,19
Mychal Mulder,6,5,4,4,5,1,1,1,3,6,8,6,5,4,2,1,1,15,2
Marcus Garrett,6,3,4,4,5,2,3,1,5,6,7,5,6,6,4,2,3,0,1
