Karl-Anthony Towns,3,9,5,8,7,1,4,4,1,5,10,2,3,2,2,7,9,32
Rudy Gobert,1,8,2,1,5,1,8,9,3,1,8,4,1,3,5,7,10,27
Anthony Edwards,5,4,3,6,9,3,2,1,5,8,8,4,7,6,4,1,2,1
D'Angelo Russell,7,6,6,5,7,1,1,1,3,6,9,6,6,5,6,1,2,0
Kyle Anderson,6,6,2,5,6,5,3,2,6,3,7,6,3,6,5,2,7,1
Naz Reid,2,5,4,6,6,1,7,5,1,1,8,2,1,1,2,6,7,11
Jaden McDaniels,6,6,5,5,5,1,4,5,5,6,7,1,4,5,5,2,7,3
Jaylen Nowell,5,7,8,6,7,1,1,1,2,6,7,3,5,3,2,1,2,4
Taurean Prince,4,8,5,6,4,2,2,3,5,6,7,4,4,5,6,2,5,12
Jordan McLaughlin,7,4,5,3,7,7,1,1,5,4,6,7,4,5,5,1,1,6
Austin Rivers,7,8,3,6,6,1,1,1,6,5,9,5,5,6,2,1,2,25
Bryn Forbes,4,8,5,7,6,1,1,1,2,4,6,1,3,4,1,1,1,6
Greg Monroe,1,6,4,1,3,1,1,2,1,3,6,1,1,1,1,7,9,55
Jake Layman,4,4,6,5,6,1,2,2,3,4,6,3,2,4,2,2,6,10
Nathan Knight,1,4,4,2,3,1,4,3,1,3,6,1,1,1,1,5,8,13
