Shai Gilgeous-Alexander,8,9,6,7,8,1,1,1,6,7,9,8,3,2
Luguentz Dort,4,4,6,5,6,4,1,1,7,6,8,2,1,5
Derrick Favors,1,8,4,1,6,1,7,5,3,3,6,1,7,15
Josh Giddey,7,5,4,5,6,2,1,1,4,5,8,7,6,3
Darius Bazley,4,2,4,4,6,1,1,1,1,5,6,1,6,7
Ty Jerome,7,7,5,6,6,1,1,1,3,4,7,7,3,16
Aleksej Pokusevski,2,4,4,4,4,1,5,3,3,2,7,2,10,17
Theo Maledon,7,6,6,5,6,1,1,1,1,5,7,7,3,11
Isaiah Roby,1,7,4,4,5,1,2,2,2,5,6,1,6,22
Gabriel Deck,4,4,5,5,5,1,1,1,1,4,6,5,4,6
Kenrich Williams,4,7,6,6,5,1,1,2,3,2,6,4,4,34
Mike Muscala,1,8,6,6,3,1,1,4,1,1,6,2,8,33
Tre Mann,7,6,6,6,6,2,1,1,3,5,8,6,3,23
Jeremiah Robinson-Earl,4,4,3,4,4,1,2,3,1,2,6,3,7,50
Paul Watson,4,4,4,6,4,1,1,1,2,4,7,3,4,1
Aaron Wiggins,4,4,4,5,4,1,1,1,2,7,6,3,4,30
Vit Krejci,4,4,3,4,4,1,1,1,2,5,6,4,4,27
