Wendell Carter,1,7,4,4,5,1,3,6,1,4,7,1,8,34
Jonathan Isaac,5,3,5,5,3,7,9,5,7,5,7,3,8,1
Terrence Ross,6,7,7,6,6,1,1,1,4,5,7,4,5,31
Jalen Suggs,7,6,5,5,7,1,1,1,5,8,8,6,2,4
Cole Anthony,7,4,7,5,6,1,1,1,4,7,8,6,1,50
Markelle Fultz,7,8,4,4,8,1,1,1,5,7,8,7,2,20
Mohamed Bamba,1,6,4,5,3,1,8,5,1,5,6,1,10,5
Robin Lopez,1,9,5,5,6,1,3,4,1,1,7,1,10,33
Chuma Okeke,4,4,7,6,4,3,1,3,6,4,6,3,6,3
Franz Wagner,5,4,5,6,5,4,3,1,4,3,7,4,7,21
Moritz Wagner,1,7,6,6,4,1,2,2,1,5,7,1,1,-1
R.J. Hampton,7,5,6,4,6,1,1,1,4,8,8,4,4,13
Gary Harris,5,4,4,5,5,1,1,4,7,4,7,5,2,14
Michael Carter-Williams,6,3,3,3,8,1,2,2,5,5,7,6,4,7
E'Twaun Moore,5,8,3,5,5,3,1,1,2,4,6,5,2,55
Ignas Brazdeikis,4,5,5,5,4,1,1,1,2,2,6,2,4,17
