Chris Paul,9,9,10,7,6,7,1,2,8,6,8,8,1,3
Devin Booker,7,9,9,7,8,1,1,1,5,6,9,7,3,1
Deandre Ayton,2,9,6,3,6,1,5,6,1,5,8,1,9,22
Mikal Bridges,6,9,6,7,5,7,3,4,6,6,8,6,4,25
Cameron Johnson,2,8,4,6,3,1,1,1,1,4,7,2,6,23
Jae Crowder,5,4,4,7,5,1,1,4,6,4,9,3,4,99
Dario Saric,4,6,3,6,6,1,1,4,1,3,6,5,8,20
Frank Kaminsky,1,7,4,6,6,1,2,3,1,1,8,1,10,8
Cameron Payne,6,7,7,7,7,1,1,1,2,5,6,5,1,15
JaVale McGee,1,6,3,1,3,1,8,6,1,3,4,1,10,0
Abdel Nader,4,7,4,6,6,1,2,1,2,4,6,4,3,11
Elfrid Payton,7,5,4,4,7,1,1,1,6,5,6,6,1,2
Landry Shamet,6,6,5,6,5,1,1,1,2,7,7,6,2,14
Jalen Smith,1,5,5,4,2,1,4,4,1,4,6,1,8,10
Chandler Hutchison,4,6,4,5,6,1,1,1,4,6,6,3,5,16
Ishmail Wainright,4,4,3,4,4,1,1,4,4,6,8,1,3,12
