Damian Lillard,9,6,8,7,8,1,1,1,4,8,9,7,7,5,5,3,1,0,10
Jusuf Nurkic,1,9,4,3,4,1,2,6,1,1,7,2,1,1,2,8,9,27,8
Jerami Grant,5,6,6,6,8,1,4,4,4,5,9,4,4,5,4,4,6,9,8
Anfernee Simons,7,8,7,7,8,1,1,1,2,7,6,6,6,5,1,1,1,1,4
Josh Hart,6,8,5,5,7,1,1,1,4,6,8,5,6,5,4,1,3,11,5
Gary Payton,6,8,4,6,6,9,1,1,6,6,7,5,6,6,8,1,1,0,5
Nassir Little,3,5,6,5,6,1,4,4,4,5,7,1,4,5,3,4,3,9,3
Justise Winslow,5,5,1,1,5,3,4,3,6,5,8,5,5,6,6,3,4,26,7
Trendon Watford,1,8,4,2,6,1,4,3,1,3,7,2,1,1,1,6,6,2,1
Drew Eubanks,1,8,5,1,4,1,4,2,1,2,6,1,1,2,1,4,7,14,4
Kris Dunn,7,7,6,3,4,9,1,1,7,7,7,5,6,7,9,1,1,5,6
Brandon Williams,6,6,5,4,6,1,1,1,2,6,8,5,5,3,1,2,1,8,1
Ben McLemore,5,4,6,6,4,1,1,1,3,4,8,5,3,4,1,1,1,23,9
Keon Johnson,5,2,4,5,4,3,1,1,4,9,8,5,7,7,4,1,2,6,1
Greg Brown,4,3,3,3,3,3,6,2,2,6,6,1,3,3,1,1,5,4,1
