Dejounte Murray,7,7,7,5,8,6,1,1,7,7,8,7,3,5
Keldon Johnson,6,5,7,6,7,1,1,3,4,5,8,5,4,3
Thaddeus Young,4,9,2,3,6,4,2,6,4,4,8,4,6,30
Derrick White,7,8,3,6,5,5,4,1,6,8,7,7,2,4
Jakob Poeltl,1,8,6,1,3,1,7,6,1,1,6,4,10,25
Doug McDermott,3,8,6,7,6,1,1,1,2,2,6,3,6,17
Lonnie Walker,6,7,5,6,5,1,1,1,5,8,7,4,3,1
Bryn Forbes,4,7,8,7,6,1,1,1,2,4,6,1,1,7
Devin Vassell,3,6,6,6,3,2,1,2,6,4,8,4,5,24
Drew Eubanks,1,7,5,1,4,1,7,2,1,2,6,1,8,14
Zach Collins,1,8,1,5,4,1,5,4,1,3,6,1,9,23
Keita Bates-Diop,3,1,4,5,4,3,1,3,3,5,6,2,6,31
Joshua Primo,4,4,5,6,4,1,1,1,4,5,7,3,4,11
Tre Jones,6,2,4,5,4,1,1,1,5,5,7,6,1,33
Joe Wieskamp,4,3,4,6,4,1,1,1,2,7,6,3,4,15
Devontae Cacok,3,3,1,1,4,4,5,2,1,3,5,1,5,17
Jock Landale,1,4,3,5,2,1,1,3,1,1,6,2,9,34
