Donovan Mitchell,8,8,6,7,8,6,1,4,6,9,9,6,1,45
Rudy Gobert,1,4,3,1,6,1,8,9,3,1,8,4,10,27
Mike Conley,8,8,6,7,5,4,1,1,7,7,7,8,1,11
Joe Ingles,4,9,5,8,6,1,1,2,7,3,8,6,6,2
Jordan Clarkson,7,8,4,6,7,1,1,1,3,6,6,6,3,0
Rudy Gay,6,7,5,6,5,1,3,4,2,5,9,4,6,8
Hassan Whiteside,1,7,5,1,4,1,8,6,1,3,4,2,10,21
Bojan Bogdanovic,5,7,4,7,5,1,1,1,6,3,9,5,6,44
Eric Paschall,5,8,8,5,6,1,1,3,3,4,7,1,4,0
Royce O'Neale,4,6,3,7,5,1,1,4,7,2,6,2,4,23
Jared Butler,6,6,3,5,5,1,1,1,2,6,7,4,1,13
Udoka Azubuike,1,3,1,1,4,1,5,5,1,4,6,1,10,20
Miye Oni,4,4,3,5,4,1,1,1,4,6,6,3,3,81
Elijah Hughes,4,4,4,5,4,1,1,1,3,5,7,1,4,33
Trent Forrest,5,4,1,3,4,1,1,2,2,6,6,4,2,3
Malik Fitts,2,4,5,5,4,1,4,4,4,3,6,1,6,24
