LaMelo Ball,8,6,6,6,8,1,1,1,4,7,9,9,7,7,8,1,9,5,1,3,8899069,2
Terry Rozier,8,7,6,6,8,1,1,1,5,6,10,7,6,5,3,2,7,1,3,8,24064674,4
Kelly Oubre,6,4,7,5,6,4,4,1,5,4,8,5,4,5,5,2,6,4,12,8,12300000,1
Gordon Hayward,5,7,7,5,5,1,1,1,5,6,8,5,5,5,2,3,7,5,20,13,30000000,2
Mark Williams,1,4,1,1,5,4,8,4,1,3,7,1,1,1,2,5,6,10,5,1,4500253,4
P.J. Washington,4,8,2,6,5,1,4,2,1,5,7,1,3,3,2,4,6,5,25,4,1000000,1
Nick Richards,1,4,4,1,2,1,6,5,1,4,6,1,1,1,1,3,5,10,4,3,1433534,1
Dennis Smith,7,4,4,4,5,5,1,1,3,7,8,5,7,5,5,1,5,1,8,6,2133278,1
Cody Martin,5,4,2,6,7,4,1,1,4,2,8,5,1,4,4,2,5,4,11,4,7840000,4
Theo Maledon,7,6,5,5,6,4,1,1,1,5,7,7,5,3,1,1,5,2,9,3,1000000,1
James Bouknight,6,3,4,5,5,1,1,1,4,7,7,4,7,6,4,1,6,2,2,2,4787804,3
Bryce McGowens,5,4,5,5,5,1,1,1,3,5,7,1,4,5,2,1,5,4,7,1,1000000,1
Kai Jones,1,4,4,4,3,1,6,6,1,3,7,1,1,3,3,3,5,8,23,2,3355304,3
Sviatoslav Mykhailiuk,3,7,6,5,5,1,1,1,1,6,6,4,5,3,1,1,5,5,10,5,1968175,1
J.T. Thor,2,4,4,2,4,1,2,3,3,7,7,3,4,3,2,1,5,7,21,2,1000000,1
