DeMar DeRozan,7,9,9,5,8,1,1,1,5,6,10,5,6,5,6,5,8,4,11,14,27300000,2
Zach LaVine,8,8,7,6,8,1,1,2,4,7,10,6,6,5,4,1,8,3,8,9,43031940,5
Nikola Vucevic,1,9,9,6,4,1,2,5,1,2,9,6,1,1,1,8,7,8,9,12,25000000,1
Lonzo Ball,7,1,3,7,6,6,2,2,7,7,9,8,7,7,8,1,7,4,2,6,20000000,3
Andre Drummond,1,7,1,1,5,5,2,5,1,2,8,1,1,1,4,9,6,8,3,11,3280000,2
Patrick Williams,4,3,7,7,4,1,3,4,5,4,8,2,3,5,3,3,6,5,44,3,8025410,2
Javonte Green,4,5,4,6,6,5,6,5,5,4,6,2,4,4,6,1,5,3,24,4,1742428,1
Alex Caruso,6,4,3,7,4,9,3,1,8,6,7,6,6,7,8,1,6,3,6,6,9245000,3
Derrick Jones,4,4,4,5,6,1,6,2,2,5,7,3,2,4,4,2,5,4,5,7,3280000,2
Ayo Dosunmu,6,8,6,5,6,1,1,1,4,5,7,4,5,6,4,1,6,2,12,2,1244388,1
Coby White,7,7,4,6,6,1,1,1,3,7,8,5,7,5,3,1,6,2,0,4,6032879,1
Tony Bradley,1,8,3,1,5,1,7,4,1,1,6,1,1,1,2,6,5,8,13,6,1912787,1
Goran Dragic,7,6,6,6,5,1,1,1,5,5,8,6,5,5,4,1,5,1,7,15,2905851,1
Dalen Terry,6,5,4,5,5,4,1,1,4,5,7,4,5,5,4,2,6,5,25,1,3862940,4
Marko Simonovic,1,6,4,5,4,1,3,1,1,1,6,1,1,1,3,1,5,9,19,3,1441624,2
