Donovan Mitchell,8,10,6,7,9,3,1,4,5,9,9,7,7,7,6,2,8,1,45,6,32600060,4
Darius Garland,8,9,7,7,8,1,1,1,4,8,9,8,8,6,3,1,9,1,10,4,7270829,1
Evan Mobley,2,7,7,3,7,1,5,6,4,4,9,4,3,4,5,4,9,9,4,2,9166044,3
Jarrett Allen,1,9,4,3,6,1,5,6,1,5,8,1,1,1,3,7,7,8,31,6,20000000,4
Caris LeVert,7,3,3,6,7,1,1,1,5,5,8,5,4,5,4,1,6,4,3,7,17500000,1
Ricky Rubio,7,5,2,5,6,7,1,1,6,5,8,7,5,6,4,1,6,1,13,14,6146342,3
Isaac Okoro,4,7,2,6,6,1,1,2,7,5,8,4,5,7,6,3,6,3,35,3,7270829,2
Cedi Osman,5,7,5,6,7,1,1,3,5,4,7,5,4,5,3,2,5,5,16,8,7779711,2
Robin Lopez,1,9,5,5,6,1,1,4,1,1,7,1,1,1,3,5,5,10,33,15,2905865,1
Raul Neto,6,8,7,5,6,2,1,1,5,4,6,6,4,5,6,1,5,1,19,10,2463490,1
Dean Wade,2,6,4,7,2,1,1,1,3,2,6,1,1,4,4,2,5,7,32,4,1401571,4
Danny Green,4,6,6,6,2,3,3,3,7,2,5,4,2,7,2,2,5,4,14,14,2000000,1
Lamar Stevens,3,6,7,5,4,1,1,2,4,6,6,2,4,4,3,2,5,4,8,3,1470912,2
Dylan Windler,4,5,5,5,4,1,1,1,3,4,6,2,3,3,2,1,5,4,9,4,2612430,1
Isaiah Mobley,1,4,4,4,2,1,4,2,1,2,7,4,1,1,1,2,5,6,15,1,1000000,1
