Trae Young,43031940,5
John Collins,25000000,4
Clint Capela,18000000,1
Bogdan Bogdanovic,18000000,2
Dejounte Murray,16000000,2
De'Andre Hunter,8025410,1
Onyeka Okongwu,6605536,2
A.J. Griffin,4276534,4
Saddiq Bey,3257576,2
Jalen Johnson,3222146,3
Bruno Fernando,2717391,4
Garrison Mathews,2057563,3
Aaron Holiday,1968175,1
Vit Krejci,1578368,3
Tyrese Martin,1368823,2
Jayson Tatum,32600060,4
Jaylen Brown,26583334,2
Al Horford,27250000,1
Malcolm Brogdon,21250000,3
Marcus Smart,19121999,4
Derrick White,17500000,3
Robert Williams III,12000000,4
Danilo Gallinari,6640975,2
Grant Williams,2950670,1
Mike Muscala,3500000,2
Payton Pritchard,2612430,2
Luke Kornet,2273291,2
Blake Griffin,2905851,1
Sam Hauser,1886069,3
Ben Simmons,35448672,3
Mikal Bridges,22725000,4
Spencer Dinwiddie,18000000,2
Joe Harris,18750000,2
Dorian Finney-Smith,13890240,4
Royce O'Neale,9000000,2
Nicolas Claxton,8625000,2
Seth Curry,8000000,1
Patty Mills,6640975,2
Cameron Johnson,4648375,1
Cameron Thomas,2613962,3
Day'Ron Sharpe,2579451,3
Edmond Sumner,2104059,2
Yuta Watanabe,1968175,1
Gordon Hayward,30000000,2
Terry Rozier,24064674,4
Kelly Oubre Jr.,12300000,1
LaMelo Ball,8899069,2
Cody Martin,7840000,4
PJ Washington,3017640,1
James Bouknight,4787804,3
Mark Williams,4500253,4
Kai Jones,3355304,3
Sviatoslav Mykhailiuk,1968175,1
Dennis Smith Jr.,2133278,1
Nick Richards,1433534,1
JT Thor,1659553,3
Zach LaVine,43031940,5
DeMar DeRozan,27300000,2
Nikola Vucevic,25000000,1
Lonzo Ball,20000000,3
Alex Caruso,9245000,3
Patrick Williams,8025410,2
Coby White,6032879,1
Andre Drummond,3280000,2
Derrick Jones Jr.,3280000,2
Dalen Terry,3862940,4
Tony Bradley,1912787,1
Goran Dragic,2905851,1
Javonte Green,1742428,1
Ayo Dosunmu,1244388,1
Marko Simonovic,1441624,2
Donovan Mitchell,32600060,4
Jarrett Allen,20000000,4
Caris LeVert,17500000,1
Darius Garland,7270829,1
Evan Mobley,9166044,3
Cedi Osman,7779711,2
Isaac Okoro,7270829,2
Ricky Rubio,6146342,3
Dylan Windler,2612430,1
Danny Green,2000000,1
Dean Wade,1401571,4
Robin Lopez,2905865,1
Raul Neto,2463490,1
Lamar Stevens,1470912,2
Kyrie Irving,34122650,1
Luka Doncic,43031940,5
Tim Hardaway Jr.,18750000,3
Davis Bertans,16000000,3
Christian Wood,13666667,1
Dwight Powell,11080125,1
Reggie Bullock,10012800,2
Maxi Kleber,8900000,4
JaVale McGee,5734280,3
Josh Green,3409505,2
Frank Ntilikina,1912787,1
Markieff Morris,2905851,1
Theo Pinson,1968175,1
Jaden Hardy,1585781,3
Justin Holiday,819832,1
Nikola Jokic,29542010,1
Jamal Murray,31650600,3
Michael Porter Jr.,35859950,5
Aaron Gordon,21660000,4
Kentavious Caldwell-Pope,13038862,1
Bruce Brown Jr.,6640975,2
Ishmael Smith,4612500,1
Jeff Green,4500000,1
Christian Braun,3442289,4
Zeke Nnaji,2950670,2
Vlatko Cancar,2271775,3
Peyton Watson,2816879,4
DeAndre Jordan,2905851,1
Thomas Bryant,2133278,1
Reggie Jackson,918516,1
Bojan Bogdanovic,18275000,1
Marvin Bagley III,12500000,3
Cade Cunningham,11399772,3
Alec Burks,10012800,2
James Wiseman,9904960,2
Nerlens Noel,9240000,2
Jaden Ivey,8237771,4
Killian Hayes,6032879,2
Hamidou Diallo,5200000,1
Cory Joseph,5032750,1
Jalen Duren,4868736,4
Isaiah Stewart,3774548,2
Rodney McGruder,2298385,1
Isaiah Livers,1485625,2
Stephen Curry,53838416,4
Klay Thompson,37980720,2
Andrew Wiggins,29542010,1
Draymond Green,24916591,2
Gary Payton II,8715000,3
Kevon Looney,7500000,3
Jonathan Kuminga,6213837,3
Donte DiVincenzo,4612500,2
Jordan Poole,2522720,1
Moses Moody,4256027,3
Patrick Baldwin Jr.,3498319,4
Andre Iguodala,2905851,1
JaMychal Green,2628597,1
Ryan Rollins,1585781,3
Jalen Green,10202112,3
Jabari Smith Jr.,10082608,4
Jae'Sean Tate,6876811,3
Alperen Sengun,3887744,3
Tari Eason,4064312,4
Kevin Porter Jr.,2002298,1
Usman Garuba,2951349,3
Josh Christopher,2865804,3
TyTy Washington Jr.,2837415,4
Frank Kaminsky,2463490,1
Kenyon Martin Jr.,1532398,2
Daishen Nix,1500053,3
Boban Marjanovic,807005,1
Myles Turner,20000000,1
Buddy Hield,23500000,2
Daniel Theis,8901378,3
T.J. McConnell,8400000,3
Bennedict Mathurin,7484043,4
Jalen Smith,5043773,3
Tyrese Haliburton,4469749,2
George Hill,4000000,1
Chris Duarte,4426132,3
Aaron Nesmith,4132054,2
Jordan Nwora,2900000,2
Isaiah Jackson,3039165,3
Andrew Nembhard,2145792,4
Oshae Brissett,1435261,1
James Johnson,935216,1
Paul George,44066367,3
Kawhi Leonard,44066288,3
Eric Gordon,18893589,2
Norman Powell,18000000,4
