Luka Doncic,10,10,9,7,9,5,1,3,5,7,10,10,7,5,5,4,10,5,77,5,43031940,5
Kyrie Irving,10,9,10,7,9,1,2,1,5,7,9,8,7,5,7,1,8,1,2,12,34122650,1
Christian Wood,2,9,5,7,7,1,5,5,1,1,9,1,1,1,2,5,7,7,35,8,13666667,1
Josh Green,4,8,5,7,6,1,1,1,5,7,8,4,4,6,3,2,6,3,8,3,3409505,2
Tim Hardaway,6,5,5,6,5,1,1,1,4,4,7,5,4,5,2,1,6,3,11,10,18750000,3
Dwight Powell,2,7,3,6,4,1,2,5,1,4,8,1,1,2,5,6,6,8,7,9,11080125,1
Reggie Bullock,4,7,6,6,4,1,1,1,6,3,6,5,1,6,4,1,5,4,25,10,10012800,2
JaVale McGee,1,6,3,1,3,1,8,6,1,3,4,1,1,1,3,5,6,10,0,15,5734280,3
Markieff Morris,1,7,4,7,3,1,1,5,1,1,8,1,1,1,1,7,5,7,13,12,2905851,1
Maxi Kleber,3,1,4,6,5,1,5,5,4,1,7,4,1,4,4,6,5,8,42,6,8900000,4
Jaden Hardy,7,6,5,5,6,1,1,1,1,7,7,3,5,5,1,1,6,2,3,1,1585781,3
Davis Bertans,4,4,4,6,4,1,1,3,1,1,6,1,1,3,2,3,5,8,44,12,16000000,3
Justin Holiday,4,5,4,5,5,1,2,2,5,3,7,3,2,5,6,1,5,4,14,10,819832,1
Frank Ntilikina,7,6,7,4,3,1,1,1,6,6,6,5,6,6,4,1,5,2,21,6,1912787,1
Theo Pinson,4,4,3,6,5,1,1,2,4,5,6,1,3,5,4,1,4,3,1,5,1968175,1
