Tyrese Haliburton,8,7,9,7,8,5,1,2,5,7,9,10,7,5,5,2,8,3,0,3,4469749,2
Myles Turner,1,9,4,6,6,1,8,7,4,1,9,1,1,3,4,5,7,9,33,8,20000000,1
Bennedict Mathurin,6,5,6,5,7,1,1,1,4,7,8,5,6,6,2,1,7,5,0,1,7484043,4
Buddy Hield,6,4,6,8,5,1,1,1,4,5,8,4,5,5,2,1,6,2,24,7,23500000,2
T.J. McConnell,6,9,6,6,5,5,1,1,6,5,7,8,5,7,7,1,6,1,9,8,8400000,3
Aaron Nesmith,4,4,4,6,5,1,1,1,3,4,7,4,3,4,1,1,5,3,23,3,4132054,2
Isaiah Jackson,2,5,4,2,6,1,8,4,1,5,6,1,1,3,1,3,6,8,22,2,3039165,3
Chris Duarte,5,6,3,5,6,1,1,1,4,3,8,5,2,4,4,2,7,3,3,2,4426132,3
Andrew Nembhard,6,7,5,6,6,1,1,1,5,5,7,6,5,5,3,1,6,3,2,1,2145792,4
Jalen Smith,1,7,2,4,2,1,5,4,1,4,6,1,1,2,1,3,6,8,25,3,5043773,3
Daniel Theis,1,7,6,5,4,1,4,7,1,1,8,4,1,1,1,6,6,7,27,6,8901378,3
Jordan Nwora,3,5,1,7,5,1,1,1,1,2,6,1,1,3,1,2,6,6,13,3,2900000,2
Oshae Brissett,2,2,3,5,5,2,1,1,1,3,7,1,1,1,1,5,5,5,12,4,1435261,1
George Hill,7,2,6,5,6,1,1,1,5,5,8,6,5,6,4,1,5,2,7,15,4000000,1
James Johnson,5,5,2,4,4,1,6,5,5,3,7,4,2,5,6,6,5,5,16,14,935216,1
