Jimmy Butler,7,9,6,5,8,9,1,5,8,7,9,7,6,8,9,5,9,5,22,12,35197650,1
Bam Adebayo,4,9,8,4,6,1,2,9,7,5,8,4,3,5,6,7,8,7,13,6,32600060,4
Tyler Herro,7,9,5,7,7,1,1,1,4,6,7,6,5,4,2,2,8,3,14,4,4297209,1
Kyle Lowry,7,7,4,5,4,1,1,4,7,7,9,6,7,7,6,3,7,1,7,17,28333334,2
Victor Oladipo,6,7,5,5,5,8,1,2,7,6,7,5,6,7,6,3,6,2,4,10,9100000,2
Max Strus,4,8,6,6,4,1,1,1,1,5,8,4,5,3,1,1,6,3,31,4,1710908,1
Gabe Vincent,5,8,7,5,5,1,1,1,2,5,7,5,4,3,1,1,6,1,2,3,1742428,1
Caleb Martin,4,7,7,6,6,1,1,4,5,1,7,2,1,5,4,2,5,3,16,4,6802950,3
Omer Yurtseven,2,8,4,4,3,1,4,2,1,1,7,1,1,1,2,4,5,9,77,1,1620852,1
Nikola Jovic,4,7,4,3,6,1,1,2,2,4,7,4,3,3,1,1,6,8,5,1,2875384,4
Duncan Robinson,4,6,6,7,5,1,1,1,1,2,7,3,1,3,1,1,6,5,55,4,18000000,4
Orlando Robinson,1,7,4,5,2,1,4,1,1,1,6,1,1,1,1,3,4,8,25,1,1000000,1
Udonis Haslem,1,6,3,1,1,3,1,5,1,1,6,1,1,1,3,5,5,6,40,20,2905851,1
Jamal Cain,1,6,2,4,6,1,5,2,4,3,6,1,2,4,1,2,4,5,8,1,1000000,1
Haywood Highsmith,4,4,4,6,4,1,2,1,2,4,6,1,3,4,3,1,4,2,24,5,1315247,2
