Giannis Antetokounmpo,7,8,5,4,10,1,6,8,8,8,10,7,6,9,8,9,9,9,34,10,45640084,4
Jrue Holiday,7,7,7,6,6,5,1,1,9,6,8,7,6,9,9,1,7,1,21,14,33749333,3
Khris Middleton,5,8,6,7,7,1,1,4,7,4,8,6,4,7,6,5,7,5,22,11,35500000,2
Brook Lopez,1,9,6,7,4,1,8,8,1,1,8,1,1,2,4,7,7,10,11,15,13000000,1
Bobby Portis,1,9,8,5,5,1,1,6,1,3,7,1,2,1,3,6,7,8,9,8,12144552,4
Pat Connaughton,6,6,4,6,8,1,1,1,4,5,6,4,3,5,1,1,5,3,24,8,5333333,4
Joe Ingles,4,8,5,6,6,1,1,2,6,3,8,5,2,7,6,3,5,6,7,9,6479000,1
Jae Crowder,5,8,7,6,5,5,1,4,6,4,9,3,3,6,8,6,5,4,99,11,9720900,1
Grayson Allen,6,3,4,7,7,1,1,1,4,7,7,4,6,5,5,1,5,2,12,5,9350000,2
Jevon Carter,6,3,7,7,5,3,1,1,6,5,7,5,5,7,5,2,5,1,5,5,2169972,2
Wesley Matthews,5,5,4,5,6,1,1,1,6,4,7,4,4,6,6,1,6,2,23,14,2905851,1
MarJon Beauchamp,4,4,5,5,5,1,1,1,4,5,8,3,4,5,4,1,6,4,0,1,3152399,4
Thanasis Antetokounmpo,4,4,3,3,6,1,3,1,2,5,6,1,4,2,1,1,5,4,43,9,1803969,1
Sandro Mamukelashvili,2,3,4,4,4,1,2,3,1,2,7,2,1,1,1,5,5,7,54,2,1000000,1
A.J. Green,4,2,6,6,4,1,1,1,3,4,6,2,4,3,2,1,4,2,20,1,1000000,1
