Anthony Edwards,7,9,6,7,9,4,1,1,5,8,8,5,7,6,4,1,8,2,1,3,11067784,2
Karl-Anthony Towns,3,9,9,6,6,1,1,4,1,5,10,2,3,2,1,7,8,9,32,8,31650600,2
Rudy Gobert,1,6,2,1,2,1,6,9,3,1,8,4,1,3,5,7,8,10,27,10,41000000,4
Mike Conley,8,5,6,6,5,1,1,1,7,7,7,8,7,6,6,1,7,1,11,16,22680000,2
Kyle Anderson,6,8,4,6,6,3,3,2,6,3,7,6,3,6,5,2,6,7,5,9,9000000,2
Jaden McDaniels,6,8,7,6,5,1,5,6,6,6,7,1,4,6,7,2,6,7,3,3,2522720,2
Naz Reid,2,7,4,6,6,1,7,5,1,1,8,2,1,1,2,6,6,7,11,4,1532398,1
Jaylen Nowell,5,8,8,5,7,1,1,1,2,6,7,3,5,3,2,1,5,2,4,4,1657821,1
Taurean Prince,4,8,5,6,4,1,1,3,5,6,7,4,4,5,6,2,5,5,12,7,7277500,2
Nickeil Alexander-Walker,6,5,1,7,7,2,2,1,5,4,8,5,4,5,5,2,5,3,6,4,3587278,1
Jordan McLaughlin,7,6,5,4,7,5,1,1,5,4,6,7,4,5,5,1,5,1,6,4,2160000,2
Austin Rivers,7,8,3,6,6,1,1,1,6,5,9,5,5,6,2,1,5,2,25,11,2905851,1
Nathan Knight,1,4,4,2,3,1,1,3,1,3,6,1,1,1,1,5,5,8,13,3,1916664,2
Luka Garza,1,6,4,5,4,1,1,1,1,1,6,1,1,1,1,4,5,8,55,2,1000000,1
Wendell Moore,3,3,4,5,4,4,1,3,4,4,7,1,4,6,4,2,6,3,7,1,2959891,4
