Zion Williamson,6,10,4,5,10,1,1,2,1,7,7,3,5,5,4,8,9,4,1,4,11067784,1
Brandon Ingram,7,7,7,7,7,1,2,2,4,5,9,5,4,4,4,1,8,6,14,7,31650600,3
C.J. McCollum,7,7,7,7,8,1,1,1,4,6,10,6,6,5,1,2,7,1,3,10,33333333,2
Jonas Valanciunas,1,9,5,5,6,1,2,5,1,2,8,1,1,1,1,8,7,9,17,12,15067500,2
Trey Murphy,1,8,4,7,5,1,1,4,4,7,7,2,5,4,2,2,6,6,25,2,3694854,3
Herbert Jones,5,6,4,4,6,5,2,2,8,5,6,4,4,7,7,2,7,5,5,2,1773699,2
Larry Nance,3,8,5,6,4,2,5,4,1,3,8,4,1,2,8,4,6,5,22,8,11200000,3
Jose Alvarado,5,7,4,5,7,9,1,1,7,5,6,5,5,7,7,1,6,1,15,2,1722053,3
Josh Richardson,6,8,7,6,5,1,1,4,7,6,9,4,6,7,6,1,5,3,7,8,12196094,1
Naji Marshall,5,6,5,5,7,1,1,1,2,2,7,3,2,3,3,2,6,5,8,3,1337821,2
Willy Hernangomez,1,8,5,2,1,1,3,4,1,1,6,1,1,1,2,5,5,9,9,8,2443581,2
Dyson Daniels,7,4,4,6,6,5,1,1,6,6,8,6,6,6,6,1,7,4,11,1,6264987,4
Jaxson Hayes,1,8,4,3,4,1,5,6,1,2,6,1,1,3,1,4,5,9,10,4,5529623,1
Kira Lewis,7,6,2,5,5,1,1,1,3,8,7,5,6,5,3,1,6,1,13,3,4297209,2
E.J. Liddell,2,6,6,5,5,1,6,3,1,5,6,2,2,2,1,3,6,5,32,1,1000000,1
