Shai Gilgeous-Alexander,9,9,9,6,9,5,3,2,6,7,9,9,7,6,5,2,9,4,2,5,35859950,5
Josh Giddey,8,8,4,6,7,1,1,1,4,6,8,9,6,5,3,2,8,6,3,2,6803702,3
Aleksej Pokusevski,2,5,4,7,6,1,7,3,3,2,7,2,1,1,1,1,6,10,17,3,3587278,2
Jalen Williams,6,8,7,4,6,1,1,1,4,8,8,4,7,4,4,1,6,4,8,1,5064229,4
Luguentz Dort,4,3,3,6,7,1,1,1,7,6,8,2,5,7,6,4,6,1,5,4,16500000,5
Chet Holmgren,3,5,4,5,4,1,8,5,2,5,7,2,3,4,4,1,8,10,7,1,11222312,4
Kenrich Williams,4,9,6,6,6,1,1,2,3,3,6,4,3,5,2,3,5,4,34,5,2000000,1
Isaiah Joe,5,6,6,7,6,4,1,1,4,4,6,3,3,5,1,1,5,2,7,3,1999440,3
Jeremiah Robinson-Earl,4,6,3,6,6,1,1,3,1,2,6,3,1,2,1,2,6,6,50,2,1972150,3
Dario Saric,4,6,3,6,6,1,1,4,1,3,6,5,1,2,1,3,5,8,20,9,9000000,1
Jaylin Williams,2,5,4,3,4,1,1,4,1,1,6,2,1,1,3,2,6,8,6,1,2051850,4
Tre Mann,7,6,8,5,7,1,1,1,3,5,8,6,5,4,2,1,6,1,23,2,3511803,3
Lindy Waters,3,5,5,6,4,1,1,1,3,2,7,2,1,4,2,1,5,4,12,1,1000000,1
Aaron Wiggins,4,8,4,6,6,1,1,1,2,7,6,3,5,5,1,1,5,2,21,2,1597053,3
Eugene Omoruyi,4,3,4,5,4,6,1,1,5,4,6,3,3,5,1,1,5,4,25,2,1136503,2
