Joel Embiid,1,9,9,6,8,1,6,9,4,4,9,4,2,4,3,9,9,10,21,9,29542010,1
James Harden,9,7,8,7,8,1,1,2,4,7,10,6,7,5,6,4,9,3,1,14,34320000,2
Tyrese Maxey,7,6,7,7,8,1,1,1,6,8,9,7,7,7,4,1,8,1,0,3,3038140,2
Tobias Harris,6,8,8,6,6,1,1,2,2,5,9,5,1,3,3,5,7,5,12,12,36000000,2
De'Anthony Melton,7,5,8,7,7,9,1,1,6,5,6,6,5,6,8,1,6,1,8,5,8656922,2
Shake Milton,7,6,8,7,6,1,1,1,3,5,8,6,5,5,1,1,5,3,18,5,1664676,1
Montrezl Harrell,1,9,6,1,8,1,5,3,1,2,7,1,1,1,1,9,6,5,5,8,2611758,2
Jalen McDaniels,4,6,4,5,6,2,1,2,1,5,6,1,4,2,1,2,5,7,7,4,1532398,1
Georges Niang,3,8,5,7,5,1,1,2,1,1,8,3,1,1,2,2,5,5,20,7,3382500,1
Dewayne Dedmon,1,9,5,5,3,1,6,6,1,1,5,1,1,2,2,6,5,10,14,10,835014,1
P.J. Tucker,3,9,5,7,1,1,1,5,6,3,8,4,1,6,5,6,6,3,17,17,11014500,3
Paul Reed,1,4,4,3,5,7,7,4,1,1,6,1,1,1,2,2,5,7,44,3,1303243,1
Danuel House,4,1,5,6,6,1,1,1,5,3,7,4,2,5,4,1,5,4,25,7,4207625,2
Furkan Korkmaz,5,4,4,5,5,1,1,1,3,4,7,1,3,4,2,1,5,5,30,7,5000000,2
Jaden Springer,6,5,5,5,5,3,1,1,4,6,7,5,6,6,3,1,5,2,11,2,2598371,3
