Damian Lillard,9,9,9,7,9,1,1,1,4,8,9,7,7,5,5,3,9,1,0,11,44066288,3
Anfernee Simons,8,9,7,7,8,1,1,1,2,7,8,7,6,5,1,1,7,1,1,5,25000000,4
Jerami Grant,5,6,6,7,8,1,2,4,4,5,9,4,4,5,4,4,7,6,9,9,20002500,1
Jusuf Nurkic,1,7,4,6,4,1,4,6,1,1,7,2,1,1,2,8,6,9,27,9,17500000,4
Drew Eubanks,1,7,5,1,4,1,7,2,1,2,6,1,1,2,1,4,5,7,24,5,1968175,1
Shaedon Sharpe,7,4,7,6,6,1,1,1,4,8,9,3,7,6,5,1,7,4,17,1,6835226,4
Matisse Thybulle,3,5,1,5,5,9,2,2,9,5,7,1,4,9,9,2,6,3,22,4,3128282,1
Nassir Little,3,5,7,6,6,1,1,4,4,5,7,1,4,5,3,4,5,3,10,4,2700987,1
Trendon Watford,1,8,4,5,6,1,1,3,1,3,7,2,1,1,1,6,5,6,2,2,1456174,3
Justise Winslow,5,4,1,5,4,1,1,3,6,5,8,5,5,6,6,3,5,4,26,8,4000000,1
Cam Reddish,6,6,2,5,6,1,1,1,6,7,8,4,6,6,6,1,5,6,21,4,4832084,1
Jabari Walker,2,4,3,5,4,1,2,2,2,5,6,1,4,5,1,1,6,6,81,1,1585781,3
Keon Johnson,5,3,4,5,4,5,1,1,4,9,8,5,7,7,4,1,5,2,6,2,3129323,3
Kevin Knox,5,1,1,6,3,1,1,1,4,5,8,2,4,4,4,4,5,5,20,5,3000000,2
Ryan Arcidiacono,6,1,6,5,5,1,1,1,3,4,6,7,4,4,2,1,5,1,51,6,2133278,1
