Bradley Beal,8,9,9,6,9,1,1,1,3,5,10,6,5,5,3,2,8,2,3,11,50203930,5
Kristaps Porzingis,4,9,5,7,6,1,6,6,1,3,9,1,1,2,2,5,7,10,6,8,31650600,2
Kyle Kuzma,5,9,5,6,8,1,1,3,3,5,7,3,3,4,1,5,7,7,33,6,13000000,2
Monte Morris,7,8,7,7,6,1,1,1,2,7,7,9,7,4,1,1,6,1,0,6,9258332,2
Daniel Gafford,1,8,3,1,6,1,8,4,1,5,6,1,1,2,1,5,6,7,21,4,1532398,4
Deni Avdija,6,5,5,4,5,1,2,2,6,5,8,5,4,6,5,3,6,7,9,3,5085337,2
Delon Wright,7,8,3,4,6,8,2,1,5,5,8,7,4,5,6,2,5,3,55,8,8000000,2
Corey Kispert,4,8,6,7,5,1,1,1,4,5,7,3,3,5,3,2,6,4,24,2,4091102,3
Kendrick Nunn,6,5,5,5,8,1,1,1,2,5,9,4,4,4,1,1,5,1,12,4,5125000,1
Jordan Goodwin,6,8,6,6,6,6,3,1,3,5,6,6,4,4,3,1,5,1,7,2,1000000,1
Vernon Carey,1,7,5,3,1,1,6,3,1,1,6,1,1,1,1,7,5,7,22,3,2193761,2
Taj Gibson,1,7,6,5,3,1,3,4,2,1,5,1,1,1,2,7,5,7,67,14,2905851,1
Johnny Davis,6,5,6,5,5,1,1,4,5,6,7,4,4,6,1,1,7,3,1,1,5474627,4
Anthony Gill,1,8,4,5,4,1,1,3,2,4,6,1,1,1,2,2,5,5,16,3,1916664,2
Isaiah Todd,4,4,4,5,4,1,1,1,1,2,6,2,1,3,1,4,5,7,14,2,1724924,3
